0,"WE WANT TO TALK ABOUT OUR MARRIAGE",1
1,"The Trump Presidency: Last Week Tonight with John Oliver (HBO)",0
2,"Racist Superman | Rudy Mancuso, King Bach & Lele Pons",0
3,"Nickelback Lyrics: Real or Fake?",1
4,"I Dare You: GOING BALD!?",1
5,"2 Weeks with iPhone X",1
6,"Roy Moore & Jeff Sessions Cold Open - SNL",0
7,"5 Ice Cream Gadgets put to the Test",1
8,"The Greatest Showman | Official Trailer 2 [HD] | 20th Century FOX",0
9,"Why the rise of the robots won’t mean the end of work",1
10,"Dion Lewis' 103-Yd Kick Return TD vs. Denver! | Can't-Miss Play | NFL Wk 10 Highlights",1
11,"(SPOILERS) 'Shiva Saves the Day' Talked About Scene Ep. 804 | The Walking Dead",0
12,"Marshmello - Blocks (Official Music Video)",0
13,"Which Countries Are About To Collapse?",1
14,"SHOPPING FOR NEW FISH!!!",1
15,"The New SpotMini",0
16,"One Change That Would Make Pacific Rim a Classic",1
17,"How does your body know you're full? - Hilary Coller",0
18,"HomeMade Electric Airplane",1
19,"Founding An Inbreeding-Free Space Colony",1
20,"How Can You Control Your Dreams?",1
21,"The Making of Hela's Headdress from Thor: Ragnarok",0
22,"Is It Dangerous To Talk To A Camera While Driving?",0
23,"What $4,800 Will Get You In NYC | Sweet Digs Home Tour | Refinery29",0
24,"Using Other People's Showers",1
25,"SPAGHETTI BURRITO VS SPAGHETTI BURRITO",1
27,"A Smart... MUG?! - Take apart a Heated Thermos!",1
30,"I TOOK THE $3,000,000 LAMBO TO CARMAX! They offered me......",1
33,"What's Inside a Detectives Car?",0
34,"New Emirates First Class Suite | Boeing 777 | Emirates",0
35,"Me-O Cats Commercial",0
36,"TL;DW - Every DCEU Movie Before Justice League",1
37,"Hunter Hayes - You Should Be Loved (Part One Of Pictures)",0
38,"Celebrities on Thanksgiving 2017!",0
39,"Nickelback - The Betrayal Act III [Official Video]",0
40,"U2 - The Blackout",0
41,"Iraq-Iran earthquake: Deadly tremor hits border region - BBC News",0
42,"Dennis Smith Jr. and LeBron James go back and forth",0
43,"Matthew Santoro - FACTS (Official Music Video) f. Ellevan & Humble the Poet",0
44,"AFFAIRS, EX BOYFRIENDS, $18MILLION NET WORTH - GOOGLE US | Shawn and Andrew",1
45,"iPhone X vs Makeup Transformation (Face ID TEST)",1
46,"People are Awesome & The Pet Collective present Pets are Awesome!",0
47,"Stephon Marbury and Jimmer Fredette fight in China",0
48,"Heidelberg's nifty hook-and-lateral to the left tackle",0
49,"ELDERS REACT TO iPHONE X (Facial Recognition, Animojis)",1
50,"Will It Watermarble?! Sister Edition | Watermarbling 9 random objects in nail polish!",1
51,"Lin-Manuel Miranda's next act: Helping rebuild Puerto Rico",0
52,"Wildest Superstar distractions: WWE Top 10, Nov. 11, 2017",1
53,"Jennifer Lopez - Amor, Amor, Amor (Official Video) ft. Wisin",0
54,"BLIND(folded) CAKE DECORATING CONTEST (with Molly Burke) // Grace Helbig",1
55,"Jason Momoa Wows Hugh Grant With Some Dothraki | The Graham Norton Show",1
56,"JaVale McGee's Parking Lot Chronicles: Episode 3",0
57,"Kellyanne Conway on Roy Moore This Week Abc: Trump’s Not Being Briefed On This Bit By Bit 11/12/17",0
58,"Train Swipes Parked Vehicle",1
59,"Daddy's Home 2 - Movie Review",0
60,"The Super Google Pixel 2 Camera Upgrade!",1
61,"7.3 Magnitude Earthquake Along Iraq-Iran Border Leaves At Least 400 Dead, 7,200 Injured | TIME",0
62,"#VeteransDay: Thank You for Everything",0
63,"G-Eazy - The Plan (Official Video)",0
64,"U.S. Navy Three Carrier Formation in Western Pacific Ocean",0
65,"Batman: Gotham by Gaslight - Exclusive Trailer (2018)",0
66,"Wearing Online Dollar Store Makeup For A Week",1
67,"Getting My Driver's License | Lele Pons",0
68,"Watch Norman Reedus Come Face to Face with his ‘Walking Dead’ Double",1
70,"Ed Sheeran - Perfect (Official Music Video)",0
71,"Top 10 iPhone Apps for Productivity & Content Creation",1
72,"Reacting to Running a Half Marathon | MEGANBYTES EP. 101",1
73,"Justice League Reactions, Should Disney Buy Netflix - The John Campea Show",0
74,"Foster The People - Sit Next to Me (Official Video)",0
75,"Rosie O’Donnell On Donald Trump’s Hostility Toward Her | WWHL",0
76,"Mayo Clinic's first face transplant patient meets donor’s family",0
77,"Jason Derulo - Tip Toe feat. French Montana (Official Lyric Video)",0
78,"Jason Momoa & Lisa Bonet: Love at First Sight",1
80,"A VERY #EXTRA EBAY SHOPPING HAUL!",1
81,"EXTREME GOLDEN TAN TRANSFORMATION",1
82,"Inside the Cheese-Aging Caves 30 Feet Under Brooklyn | I Got a Guy | Bon Appétit",0
83,"Some NFL players call for an end to Thursday night football after 8 players were injured last week",0
84,"ICE PRIMER? DOES IT WORK?!",1
85,"Mark Ruffalo Reads Hilarious Thirst Tweets",1
86,"Game Night Official Trailer #1 (2018) Rachel McAdams, Jason Bateman Comedy Movie HD",0
88,"Alan Walker - All Falls Down (Behind The Scenes)",0
89,"FANTASY (feat. Amber Liu) by SUPERFRUIT",0
90,"2017 Champions Showdown: Day 3",0
91,"Taylor Swift - “New Year’s Day” Fan Performance",0
92,"Animal Adventure Park Giraffe Cam",0
93,"How To Dry a Shirt in 30 Seconds",1
94,"Everything Wrong With Baby Driver In 14 Minutes Or Less",1
95,"Kimbra - Top of the World (Official Music Video)",0
96,"Camila Cabello COMPLETELY NAILS 'Finish The Lyric'",0
97,"Edna's registered owner thought she was dead for 2 years!!!",0
98,"When Someone Has A Crush on You | Lilly Singh",1
99,"Neck Deep - Parachute (Official Music Video)",0
100,"Idiot's Guide to Japanese Squat Toilets",1
101,"Sam Smith surprises brides at their wedding! (At The BBC)",0
102,"Mark Wahlberg's Kids Use Him for His Celeb Connections",0
103,"H&M Holiday 2017 starring Nicki Minaj – official teaser",0
104,"Camila Cabello - Havana (Vertical Video) ft. Young Thug",0
105,"FIRST TIME IM DOING THIS! TALKS WITH LIZA.",1
106,"Owen Wilson on Meeting Julia Roberts, and Tandem Biking",0
107,"Surprise After Surprise | October Vlog",1
108,"THE SHAPE OF WATER - Final Trailer",0
